State,Abbr.,Date of statehood,Capital,Capital since,Land area (mi_),Rank in cities of its state by population,Municipal population (2010 census),Metropolitan population (2010 census)
Alabama,AL,1819,Montgomery,1846,155.4,2,"205,764","374,536"
Alaska,AK,1959,Juneau,1906,2716.7,3,"31,275",53758
Arizona,AZ,1912,Phoenix,1889,474.9,1,"1,445,632","4,192,887"
Arkansas,AR,1836,Little Rock,1821,116.2,1,"193,524","877,091"
California,CA,1850,Sacramento,1854,97.2,6,"466,488","2,527,123"
Colorado,CO,1876,Denver,1867,153.4,1,"600,158","2,552,195"
Connecticut,CT,1788,Hartford,1875,17.3,3,"124,512","1,212,381"
Delaware,DE,1787,Dover,1777,22.4,2,"36,047","162,310"
Florida,FL,1845,Tallahassee,1824,95.7,7,"181,412","367,413"
Georgia,GA,1788,Atlanta,1868,131.7,1,"420,003","5,268,860"
Hawaii,HI,1959,Honolulu,1845,85.7,1,"337,256","953,207"
Idaho,ID,1890,Boise,1865,63.8,1,"205,671","616,561"
Illinois,IL,1818,Springfield,1837,54,6,"116,250","208,182"
Indiana,IN,1816,Indianapolis,1825,361.5,1,"829,718","1,756,221"
Iowa,IA,1846,Des Moines,1857,75.8,1,"203,433","580,255"
Kansas,KS,1861,Topeka,1856,56,4,"127,473","230,824"
Kentucky,KY,1792,Frankfort,1792,14.7,14,"25,527","70,758"
Louisiana,LA,1812,Baton Rouge,1880,76.8,2,"229,553","802,484"
Maine,ME,1820,Augusta,1832,55.4,8,"19,136","117,114"
Maryland,MD,1788,Annapolis,1694,6.73,7,"38,394","707,502"
Massachusetts,MA,1788,Boston,1630,48.4,1,"617,594","4,522,858"
Michigan,MI,1837,Lansing,1847,35,5,"114,297","464,036"
Minnesota,MN,1858,Saint Paul,1849,52.8,2,"285,068","3,502,891"
Mississippi,MS,1817,Jackson,1821,104.9,1,"173,514","539,057"
Missouri,MO,1821,Jefferson City,1826,27.3,15,"43,079","149,807"
Montana,MT,1889,Helena,1875,14,6,"28,190","74,801"
Nebraska,NE,1867,Lincoln,1867,74.6,2,"258,379","302,157"
Nevada,NV,1864,Carson City,1861,143.4,6,"55,274","901,758"
New Hampshire,NH,1788,Concord,1808,64.3,3,"42,695","45,758"
New Jersey,NJ,1787,Trenton,1784,7.66,10,"84,913","366,513"
New Mexico,NM,1912,Santa Fe,1610,37.3,4,"75,764","183,732"
New York,NY,1788,Albany,1797,21.4,6,"97,856","857,592"
North Carolina,NC,1789,Raleigh,1792,114.6,2,"403,892","1,130,490"
North Dakota,ND,1889,Bismarck,1883,26.9,2,"61,272","108,779"
Ohio,OH,1803,Columbus,1816,210.3,1,"822,553","1,967,066"
Oklahoma,OK,1907,Oklahoma City,1910,607,1,"580,000","1,252,987"
Oregon,OR,1859,Salem,1855,45.7,3,"154,637","390,738"
Pennsylvania,PA,1787,Harrisburg,1812,8.11,9,"49,528","647,390"
Rhode Island,RI,1790,Providence,1900,18.5,1,"178,042","1,630,956"
South Carolina,SC,1788,Columbia,1786,125.2,1,"131,686","913,797"
South Dakota,SD,1889,Pierre,1889,13,8,"13,646","62,758"
Tennessee,TN,1796,Nashville,1826,473.3,2,"635,710","1,582,264"
Texas,TX,1845,Austin,1839,251.5,4,"790,390","1,716,291"
Utah,UT,1896,Salt Lake City,1858,109.1,1,"186,440","1,124,197"
Vermont,VT,1791,Montpelier,1805,10.2,5,"7,855","30,758"
Virginia,VA,1788,Richmond,1780,60.1,4,"204,214","1,231,675"
Washington,WA,1889,Olympia,1853,16.7,22,"46,478","234,670"
West Virginia,WV,1863,Charleston,1885,31.6,1,"51,400","304,214"
Wisconsin,WI,1848,Madison,1838,68.7,2,"233,209","561,505"
Wyoming,WY,1890,Cheyenne,1869,21.1,1,"59,466","91,738"
